code,year,value,country
CHN,1999,2076.93180259914,China
CHN,2000,2237.30047918692,China
CHN,2001,2405.99411858042,China
CHN,2002,2610.66275070444,China
CHN,2003,2856.85053293219,China
CHN,2004,3127.91444892337,China
CHN,2005,3465.72767067642,China
CHN,2006,3883.27464370816,China
CHN,2007,4409.69709445986,China
CHN,2008,4811.34486346262,China
CHN,2009,5237.78809982377,China
CHN,2010,5764.65012366375,China
CHN,2011,6275.71634288814,China
CHN,2012,6723.09003744607,China
CHN,2013,7197.937319496,China
CHN,2014,7686.37369520403,China
CHN,2015,8175.33285077393,China
CHN,2016,8679.22528805041,China
CHN,2017,9221.35045639842,China
CHN,2018,9798.57890566402,China
CHN,2019,10356.2924890582,China
CHN,2020,10573.3794064211,China
CHN,2021,11469.3174514512,China
CHN,2022,11830.298767861,China
CHN,2023,12483.9791101249,China
CHN,2024,13119.1076099516,China
JPN,1970,14318.6588003477,Japan
JPN,1971,14666.1228715572,Japan
JPN,1972,15678.891945691,Japan
JPN,1973,16701.6297669361,Japan
JPN,1974,16279.1053900856,Japan
JPN,1975,16570.1490384468,Japan
JPN,1976,17045.1784418847,Japan
JPN,1977,17622.1033093596,Japan
JPN,1978,18383.0750924035,Japan
JPN,1979,19227.734800588,Japan
JPN,1980,19614.2922299856,Japan
JPN,1981,20291.567958628,Japan
JPN,1982,20818.8044337152,Japan
JPN,1983,21402.8665366541,Japan
JPN,1984,22221.8862508533,Japan
JPN,1985,23238.9252243658,Japan
JPN,1986,23884.4841642864,Japan
JPN,1987,24894.0912634322,Japan
JPN,1988,26472.7749041278,Japan
JPN,1989,27648.0847646202,Japan
JPN,1990,28904.7658863073,Japan
JPN,1991,29775.391651584,Japan
JPN,1992,29916.6529957081,Japan
JPN,1993,29665.3871017287,Japan
JPN,1994,29876.454752764,Japan
JPN,1995,30504.5332529005,Japan
JPN,1996,31371.432405964,Japan
JPN,1997,31723.3382538425,Japan
JPN,1998,31076.4386626557,Japan
JPN,1999,30911.9243180534,Japan
JPN,2000,31779.3788459032,Japan
JPN,2001,31793.1269485489,Japan
JPN,2002,31746.2430105713,Japan
JPN,2003,32115.5810785373,Japan
JPN,2004,32783.1292835489,Japan
JPN,2005,33385.9179590327,Japan
JPN,2006,33880.6890093456,Japan
JPN,2007,34426.6937124867,Japan
JPN,2008,34008.5915147362,Japan
JPN,2009,31993.8588053706,Japan
JPN,2010,33311.2872381879,Japan
JPN,2011,33306.1802259719,Japan
JPN,2012,33909.4911855243,Japan
JPN,2013,34636.6924746166,Japan
JPN,2014,34996.8796756631,Japan
JPN,2015,35664.6446110613,Japan
JPN,2016,35934.4467886662,Japan
JPN,2017,36547.7357437305,Japan
JPN,2018,36899.3847079435,Japan
JPN,2019,36837.2583653113,Japan
JPN,2020,35363.2996951789,Japan
JPN,2021,36792.556429474,Japan
JPN,2022,37448.3504824849,Japan
JPN,2023,37902.5492204411,Japan
JPN,2024,37976.6371788298,Japan
KOR,1970,2001.04656436772,South Korea
KOR,1971,2170.9646968132,South Korea
KOR,1972,2286.93666830827,South Korea
KOR,1973,2583.31158461691,South Korea
KOR,1974,2784.47241806545,South Korea
KOR,1975,2955.1963902217,South Korea
KOR,1976,3294.13497099216,South Korea
KOR,1977,3644.59385270464,South Korea
KOR,1978,3986.99777854343,South Korea
KOR,1979,4270.07298916474,South Korea
KOR,1980,4139.9606854608,South Korea
KOR,1981,4377.64026742067,South Korea
KOR,1982,4675.53053701243,South Korea
KOR,1983,5227.53893142287,South Korea
KOR,1984,5712.63984757483,South Korea
KOR,1985,6105.74268983951,South Korea
KOR,1986,6740.69941617276,South Korea
KOR,1987,7535.12660432782,South Korea
KOR,1988,8367.04656522944,South Korea
KOR,1989,8878.29655251462,South Korea
KOR,1990,9672.57845182894,South Korea
KOR,1991,10618.8431439122,South Korea
KOR,1992,11176.560685871,South Korea
KOR,1993,11837.4692053797,South Korea
KOR,1994,12817.2447824958,South Korea
KOR,1995,13924.3044000347,South Korea
KOR,1996,14894.3278834104,South Korea
KOR,1997,15682.2717905189,South Korea
KOR,1998,14800.5091573641,South Korea
KOR,1999,16402.9168341094,South Korea
KOR,2000,17763.1353417297,South Korea
KOR,2001,18460.4288193829,South Korea
KOR,2002,19775.3800655139,South Korea
KOR,2003,20278.0406421178,South Korea
