country,iso3,year,real_gdp_per_person
Nigeria,NGA,1966,1528.59450365725
Nigeria,NGA,1967,1260.72712413558
Nigeria,NGA,1968,1218.43317476067
Nigeria,NGA,1969,1480.04711892594
Nigeria,NGA,1970,1808.39459104007
Nigeria,NGA,1971,2018.17321464639
Nigeria,NGA,1972,2036.693978214
Nigeria,NGA,1973,2093.63873175724
Nigeria,NGA,1974,2267.04408449537
Nigeria,NGA,1975,2089.85507779218
Nigeria,NGA,1976,2214.3226160701
Nigeria,NGA,1977,2278.69721767682
Nigeria,NGA,1978,2082.55279909937
Nigeria,NGA,1979,2155.78965300242
Nigeria,NGA,1980,2177.41578655365
Nigeria,NGA,1981,1834.28760820949
Nigeria,NGA,1982,1659.098143512
Nigeria,NGA,1983,1440.01747782647
Nigeria,NGA,1984,1387.92176005615
Nigeria,NGA,1985,1428.92742820393
Nigeria,NGA,1986,1391.47877234568
Nigeria,NGA,1987,1398.24883299026
Nigeria,NGA,1988,1461.19132231327
Nigeria,NGA,1989,1449.68017647141
Nigeria,NGA,1990,1577.19616627771
Nigeria,NGA,1991,1541.59066261007
Nigeria,NGA,1992,1571.1902261785
Nigeria,NGA,1993,1498.958950378
Nigeria,NGA,1994,1433.38861092416
Nigeria,NGA,1995,1395.07488456803
Nigeria,NGA,1996,1416.10189471248
Nigeria,NGA,1997,1420.23877961219
Nigeria,NGA,1998,1419.31770917937
Nigeria,NGA,1999,1390.4692113901
Nigeria,NGA,2000,1421.67987952016
Nigeria,NGA,2001,1465.45720342369
Nigeria,NGA,2002,1644.39518877708
Nigeria,NGA,2003,1717.21451111739
Nigeria,NGA,2004,1824.80269456838
Nigeria,NGA,2005,1889.25175325842
Nigeria,NGA,2006,1949.15856804582
Nigeria,NGA,2007,2020.83316299437
Nigeria,NGA,2008,2098.2833922073
Nigeria,NGA,2009,2204.60725603823
Nigeria,NGA,2010,2315.46676509642
Nigeria,NGA,2011,2370.97657091881
Nigeria,NGA,2012,2403.65387896987
Nigeria,NGA,2013,2495.34106573862
Nigeria,NGA,2014,2583.61556958171
Nigeria,NGA,2015,2585.73360671797
Nigeria,NGA,2016,2481.81490350403
Nigeria,NGA,2017,2441.71236404537
Nigeria,NGA,2018,2431.77857832597
Nigeria,NGA,2019,2431.53528475874
Nigeria,NGA,2020,2228.68631426529
Nigeria,NGA,2021,2206.66406255564
Nigeria,NGA,2022,2254.29080414598
Nigeria,NGA,2023,2280.67777167162
Nigeria,NGA,2024,2324.59702394542
