year,value,inflation,series,category
2021,525.276416666667,1.23361320136848,CPIMEDNS,Medical care
2022,546.5535,4.05064508099464,CPIMEDNS,Medical care
2023,549.084333333333,0.463053174727324,CPIMEDNS,Medical care
2024,563.841,2.68750459097662,CPIMEDNS,Medical care
1989,125.075,NA,CPIUFDNS,Food
1990,132.366666666667,5.82983543207409,CPIUFDNS,Food
1991,136.25,2.93376983127676,CPIUFDNS,Food
1992,137.891666666667,1.20489296636084,CPIUFDNS,Food
1993,140.858333333333,2.15144739227657,CPIUFDNS,Food
1994,144.275,2.42560492220316,CPIUFDNS,Food
1995,148.416666666667,2.87067521515625,CPIUFDNS,Food
1996,153.283333333333,3.27905670971362,CPIUFDNS,Food
1997,157.275,2.60411003588128,CPIUFDNS,Food
1998,160.683333333333,2.16711704551475,CPIUFDNS,Food
1999,164.1,2.1263354423815,CPIUFDNS,Food
2000,167.816666666667,2.26487913873654,CPIUFDNS,Food
2001,173.083333333333,3.1383454166253,CPIUFDNS,Food
2002,176.216666666667,1.81030332209917,CPIUFDNS,Food
2003,179.975,2.13279107159745,CPIUFDNS,Food
2004,186.175,3.44492290595917,CPIUFDNS,Food
2005,190.725,2.4439371559017,CPIUFDNS,Food
2006,195.175,2.333202254555,CPIUFDNS,Food
2007,202.915916666667,3.96614149694718,CPIUFDNS,Food
2008,214.106416666667,5.51484584542612,CPIUFDNS,Food
2009,217.955083333333,1.79754849321425,CPIUFDNS,Food
2010,219.625083333333,0.766212916193343,CPIUFDNS,Food
2011,227.8415,3.74111032399533,CPIUFDNS,Food
2012,233.777333333333,2.60524677608485,CPIUFDNS,Food
2013,237.036916666667,1.39431111085762,CPIUFDNS,Food
2014,242.7245,2.39945043722094,CPIUFDNS,Food
2015,247.234833333333,1.85821098955126,CPIUFDNS,Food
2016,247.93125,0.281682260253246,CPIUFDNS,Food
2017,250.064916666667,0.860588032636733,CPIUFDNS,Food
2018,253.558166666667,1.39693726195764,CPIUFDNS,Food
2019,258.316166666667,1.87649250763633,CPIUFDNS,Food
2020,267.219333333333,3.44661612997508,CPIUFDNS,Food
2021,277.755583333333,3.94292204406368,CPIUFDNS,Food
2022,305.387666666667,9.94834487275533,CPIUFDNS,Food
2023,322.964833333333,5.75568976262957,CPIUFDNS,Food
2024,330.262583333333,2.25961134055359,CPIUFDNS,Food
1989,123.008333333333,NA,CPIHOSNS,Housing
1990,128.533333333333,4.4915656120859,CPIHOSNS,Housing
1991,133.608333333333,3.94839211618256,CPIHOSNS,Housing
1992,137.508333333333,2.9189796045656,CPIHOSNS,Housing
1993,141.216666666667,2.69680625416642,CPIHOSNS,Housing
1994,144.775,2.51976867697392,CPIHOSNS,Housing
1995,148.45,2.53842168882747,CPIHOSNS,Housing
1996,152.783333333333,2.91905243067252,CPIHOSNS,Housing
1997,156.775,2.61263226791753,CPIHOSNS,Housing
1998,160.358333333333,2.28565353744752,CPIHOSNS,Housing
1999,163.883333333333,2.19820194356388,CPIHOSNS,Housing
2000,169.55,3.45774433031629,CPIHOSNS,Housing
2001,176.358333333333,4.01553130836527,CPIHOSNS,Housing
2002,180.266666666667,2.21613192836552,CPIHOSNS,Housing
2003,184.783333333333,2.50554733727812,CPIHOSNS,Housing
2004,189.533333333333,2.57057815459547,CPIHOSNS,Housing
2005,195.725,3.26679563841012,CPIHOSNS,Housing
2006,203.158333333333,3.79784561672414,CPIHOSNS,Housing
2007,209.586166666667,3.16395258214037,CPIHOSNS,Housing
2008,216.263666666667,3.18604042728647,CPIHOSNS,Housing
2009,217.056916666667,0.366797628203841,CPIHOSNS,Housing
2010,216.256,-0.368989239765449,CPIHOSNS,Housing
2011,219.101583333333,1.31584017707409,CPIHOSNS,Housing
2012,222.71525,1.64931106918063,CPIHOSNS,Housing
2013,227.351166666667,2.08154433370265,CPIHOSNS,Housing
2014,233.215333333333,2.57934311604588,CPIHOSNS,Housing
2015,238.060333333333,2.07747918232937,CPIHOSNS,Housing
2016,243.9725,2.48347407729972,CPIHOSNS,Housing
2017,251.229,2.97431062927176,CPIHOSNS,Housing
2018,258.478166666667,2.88548163892968,CPIHOSNS,Housing
2019,265.9515,2.89128224240733,CPIHOSNS,Housing
2020,271.772916666667,2.18890161050667,CPIHOSNS,Housing
2021,280.720083333333,3.29214800959747,CPIHOSNS,Housing
2022,300.80325,7.15416098064472,CPIHOSNS,Housing
2023,320.171666666667,6.43889873751919,CPIHOSNS,Housing
2024,334.157416666667,4.36820351582223,CPIHOSNS,Housing
